protein	KO	enrichM_annotation
custom_898396_1	K03569	mreB; rod shape-determining protein MreB and related proteins
custom_907064_3	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
custom_864476_2	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
custom_1039654_2	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
custom_2625623_3	K03593	"mrp, NUBPL; ATP-binding protein involved in chromosome partitioning"
custom_294108_5	K03599	"sspA, mglA; stringent starvation protein A"
custom_462152_1	K07175	phoH2; PhoH-like ATPase
WP_011287501.1	K07277	"SAM50, TOB55, bamA; outer membrane protein insertion porin family"
custom_2222397_2	K00281	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
custom_873135_4	K02884	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
custom_646850_4	K05301	sorA; sulfite dehydrogenase (cytochrome) subunit A [EC:1.8.2.1]
custom_1467105_2	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
custom_2414944_2	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_245912_4	K00927	"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
custom_1786498_7	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
WP_011289339.1	K06907	K06907; uncharacterized protein
custom_118385_23	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
WP_011298168.1	K02990	"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"
WP_011380116.1	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
WP_011397794.1	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
WP_011479419.1	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_2459463_2	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
custom_2027498_8	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
WP_011765135.1	K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
custom_1136758_3	K02992	"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
custom_1275164_31	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
custom_457348_67	K02601	nusG; transcription termination/antitermination protein NusG
custom_457348_8	K05597	"aspQ, ansB, ansA; glutamin-(asparagin-)ase [EC:3.5.1.38]"
custom_62948_18	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_2082819_34	K02895	"RP-L24, MRPL24, rplX; large subunit ribosomal protein L24"
custom_2082819_31	K02994	"RP-S8, rpsH; small subunit ribosomal protein S8"
custom_431155_29	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
custom_2013043_17	K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
custom_2256020_31	K01738	cysK; cysteine synthase [EC:2.5.1.47]
custom_2505388_45	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
custom_1878291_2	K03521	"fixA, etfB; electron transfer flavoprotein beta subunit"
custom_1975239_10	K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
custom_2067437_81	K07795	tctC; putative tricarboxylic transport membrane protein
WP_012204539.1	K01679	"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
custom_2422653_71	K06149	uspA; universal stress protein A
custom_1077679_34	K02073	metQ; D-methionine transport system substrate-binding protein
custom_1904742_61	K03530	hupB; DNA-binding protein HU-beta
custom_1678487_14	K02600	nusA; transcription termination/antitermination protein NusA
custom_1643833_40	K07305	msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
custom_1506855_11	K03746	hns; DNA-binding protein H-NS
custom_314721_35	K04565	"SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]"
custom_1938223_56	K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
custom_1938223_106	K06149	uspA; universal stress protein A
custom_482622_269	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_1438714_5	K07275	ompW; outer membrane protein
custom_41974_3	K03628	rho; transcription termination factor Rho
custom_2051367_52	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_57687_55	K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
custom_212981_12	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein
custom_35485_77	K04078	"groES, HSPE1; chaperonin GroES"
custom_718365_2	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
custom_381122_29	K03285	"TC.GBP; general bacterial porin, GBP family"
WP_012353056.1	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
WP_012435902.1	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
custom_2418993_2	K07267	oprB; porin
WP_012585860.1	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
custom_1508467_1	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
custom_1088519_1	K02355	"fusA, GFM, EFG; elongation factor G"
custom_95406_17	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
WP_013205653.1	K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
WP_013517800.1	K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
custom_2474004_13	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
WP_013744694.1	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_013767690.1	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
custom_138683_16	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
custom_2205267_79	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
custom_2051367_119	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
WP_013801447.1	K02357	"tsf, TSFM; elongation factor Ts"
custom_301458_51	K01534	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
custom_2386055_91	K03797	"E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]"
custom_2082819_30	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
custom_1383198_32	K04047	dps; starvation-inducible DNA-binding protein
custom_1115708_20	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_014235489.1	K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
WP_014235623.1	K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]
custom_1898692_4	K04752	glnK; nitrogen regulatory protein P-II 2
WP_014236077.1	K03821	"phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]"
WP_014237276.1	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
WP_014237572.1	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
custom_191623_4	K11688	dctP; C4-dicarboxylate-binding protein DctP
WP_014238374.1	K01872	"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
custom_2602326_15	K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
WP_014778739.1	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
custom_840195_3	K03599	"sspA, mglA; stringent starvation protein A"
WP_015434685.1	K03568	tldD; TldD protein
WP_015434721.1	K01908	"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
custom_257224_4	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
custom_1912961_11	K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
custom_1342258_2	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
custom_2541151_10	K01965	"PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]"
custom_2068493_24	K02406	fliC; flagellin
custom_2059775_19	K06076	fadL; long-chain fatty acid transport protein
custom_2422653_51	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
custom_1077679_109	K00405	ccoO; cytochrome c oxidase cbb3-type subunit II
custom_1350246_88	K03640	pal; peptidoglycan-associated lipoprotein
custom_2451886_21	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
WP_016447489.1	K02357	"tsf, TSFM; elongation factor Ts"
custom_2051367_44	K01007	"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
custom_1819224_95	K19784	"chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)"
custom_2505388_61	K03746	hns; DNA-binding protein H-NS
custom_21785_13	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
custom_443764_3	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
custom_316845_64	K02358	"tuf, TUFM; elongation factor Tu"
WP_018605525.1	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
WP_018606348.1	K02945	"RP-S1, rpsA; small subunit ribosomal protein S1"
WP_018607717.1	K04751	glnB; nitrogen regulatory protein P-II 1
custom_2098107_2	K02078	acpP; acyl carrier protein
WP_018953727.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_1191781_3	K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
custom_1188146_15	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_2626197_6	K03711	"fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator"
custom_123166_6	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
WP_019919445.1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
WP_020205948.1	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
EQB64020.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_1283836_2	K02946	"RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
BAN33946.1	K03569	mreB; rod shape-determining protein MreB and related proteins
BAN35084.1	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
ERH40858.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_2557754_1	K04751	glnB; nitrogen regulatory protein P-II 1
custom_461493_24	K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
custom_2355944_1	K11942	icmF; isobutyryl-CoA mutase [EC:5.4.99.13]
AGW92175.1	K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
custom_2529738_11	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
custom_1913711_1	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
custom_2010921_2	K02902	"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
custom_929669_2	K01940	"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
custom_394685_2	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
custom_2140479_2	K11688	dctP; C4-dicarboxylate-binding protein DctP
custom_2623868_4	K19172	dndE; DNA sulfur modification protein DndE
custom_1694978_40	K02078	acpP; acyl carrier protein
custom_1938610_2	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
custom_234441_12	K14393	actP; cation/acetate symporter
custom_2331714_6	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
custom_813929_33	K02988	"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
custom_517678_3	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_1799175_4	K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
custom_1428191_1	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
custom_1855743_4	K02986	"RP-S4, rpsD; small subunit ribosomal protein S4"
custom_2016556_8	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
custom_2337356_1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_637005_43	K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]
custom_717094_7	K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
custom_1545254_15	K03517	nadA; quinolinate synthase [EC:2.5.1.72]
custom_717094_14	K02666	pilQ; type IV pilus assembly protein PilQ
custom_1075237_11	K11688	dctP; C4-dicarboxylate-binding protein DctP
custom_2331714_19	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
custom_368218_20	K04752	glnK; nitrogen regulatory protein P-II 2
EXI88868.1	K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
custom_1576986_33	K00405	ccoO; cytochrome c oxidase cbb3-type subunit II
custom_1647530_32	K14446	ccr; crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]
custom_1206246_14	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_1300426_5	K02871	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
custom_643111_22	K00688	"PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
custom_274178_39	K03821	"phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]"
custom_269935_4	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
custom_1517118_23	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
custom_1517118_4	K07220	K07220; uncharacterized protein
custom_1855743_24	K02890	"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
custom_535022_18	K06077	slyB; outer membrane lipoprotein SlyB
custom_2100270_5	K02902	"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
custom_86090_267	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
WP_026154779.1	K11900	impC; type VI secretion system protein ImpC
WP_026685247.1	K01937	"pyrG, CTPS; CTP synthase [EC:6.3.4.2]"
WP_026685510.1	K02945	"RP-S1, rpsA; small subunit ribosomal protein S1"
WP_026685518.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_2007371_4	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
WP_026685983.1	K00627	"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
WP_026686713.1	K01638	"aceB, glcB; malate synthase [EC:2.3.3.9]"
WP_026687144.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
WP_026687302.1	K00164	"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
custom_733127_8	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_738724_17	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
WP_026921369.1	K11900	impC; type VI secretion system protein ImpC
custom_634769_41	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
WP_027022395.1	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
WP_027456248.1	K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
custom_1173727_4	K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
custom_2621233_9	K02948	"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
custom_2632421_1	K02994	"RP-S8, rpsH; small subunit ribosomal protein S8"
custom_1087513_2	K02895	"RP-L24, MRPL24, rplX; large subunit ribosomal protein L24"
custom_2073365_1	K02874	"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
custom_1718863_3	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
custom_2083305_2	K02666	pilQ; type IV pilus assembly protein PilQ
custom_2235518_2	K05594	elaB; ElaB protein
custom_1216673_9	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
custom_1515720_1	K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
custom_1851512_5	K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
custom_2097907_3	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_2508981_15	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
custom_9924_11	K02078	acpP; acyl carrier protein
custom_2101114_10	K07277	"SAM50, TOB55, bamA; outer membrane protein insertion porin family"
custom_444223_5	K00384	"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
custom_211974_16	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
WP_027469387.1	K04751	glnB; nitrogen regulatory protein P-II 1
WP_027473956.1	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_027948216.1	K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
WP_028453473.1	K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
WP_028877774.1	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
WP_028994587.1	K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
custom_1938243_2	K02884	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
custom_743713_5	K04567	"KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
WP_028995953.1	K11688	dctP; C4-dicarboxylate-binding protein DctP
custom_2540321_8	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
WP_029362983.1	K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
custom_1948238_1	K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
custom_1948238_1	K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
WP_031346030.1	K00102	"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"
custom_2596236_6	K07337	K07337; penicillin-binding protein activator
custom_1798938_16	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_194819_46	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
custom_159679_21	K00937	ppk; polyphosphate kinase [EC:2.7.4.1]
custom_278428_11	K01578	MLYCD; malonyl-CoA decarboxylase [EC:4.1.1.9]
custom_1349377_10	K00088	"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
custom_2437031_7	K03776	aer; aerotaxis receptor
custom_1197379_4	K01638	"aceB, glcB; malate synthase [EC:2.3.3.9]"
custom_453094_5	K00248	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
custom_205431_1	K16147	glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]
custom_799715_20	K02275	"coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
custom_501866_4	K01637	"E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]"
custom_2527274_3	K14393	actP; cation/acetate symporter
custom_832937_39	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_14756_4	K03568	tldD; TldD protein
custom_42213_58	K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
custom_42213_64	K02906	"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
custom_2028311_2	K02355	"fusA, GFM, EFG; elongation factor G"
custom_1033837_3	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
custom_908686_14	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
custom_2245544_1	K11688	dctP; C4-dicarboxylate-binding protein DctP
custom_998907_3	K02906	"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
custom_1409384_10	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
custom_443407_9	K06077	slyB; outer membrane lipoprotein SlyB
custom_361500_8	K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
custom_857994_27	K07220	K07220; uncharacterized protein
custom_1915736_5	K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
custom_998907_15	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
custom_1776680_12	K01358	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
custom_814480_2	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein
custom_1000062_12	K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
custom_2339730_2	K07220	K07220; uncharacterized protein
custom_1071931_3	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
KFB74364.1	K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
custom_2586219_16	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
custom_1586747_5	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
custom_1604990_8	K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
custom_779725_1	K03981	dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
custom_2512849_16	K00001	"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
custom_2512849_18	K02012	"afuA, fbpA; iron(III) transport system substrate-binding protein"
custom_1099326_14	K02557	motB; chemotaxis protein MotB
custom_2391629_5	K00895	"pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
custom_2520553_16	K03406	mcp; methyl-accepting chemotaxis protein
custom_2241478_8	K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
custom_1553691_34	K02660	pilJ; twitching motility protein PilJ
custom_251529_12	K04751	glnB; nitrogen regulatory protein P-II 1
custom_1557122_1	K00627	"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
custom_2125609_13	K01897	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
custom_2187325_10	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_2347006_12	K02355	"fusA, GFM, EFG; elongation factor G"
custom_1581684_10	K08683	HSD17B10; 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
custom_799715_20	K02275	"coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
custom_799715_4	K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
custom_159679_17	K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
custom_2214482_28	K01653	"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
custom_1755473_1	K02959	"RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16"
custom_829278_27	K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]
custom_1098186_9	K10014	hisJ; histidine transport system substrate-binding protein
custom_42213_63	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
AIT62738.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_2109006_5	K02992	"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
WP_035383766.1	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
custom_1647362_92	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_040039379.1	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
custom_273231_2	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
