protein	IPR	GO	Pfam	Interproscan_annotation	
custom_1610630_4	IPR001353	GO:0004298|GO:0005839|GO:0051603	PF00227	"Proteasome, subunit alpha/beta"	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168
custom_1092003_56	IPR019613	-	PF10670	Protein of unknown function DUF4198	
RME98639.1	IPR013765	GO:0003697|GO:0005524|GO:0006281	PF00154	DNA recombination and repair protein RecA	
WP_094159564.1	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
WP_094159564.1	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_1571472_4	IPR039565	-	PF13525	Outer membrane lipoprotein BamD-like	
custom_1543501_2	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_1543501_2	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_99454_15	IPR005484	GO:0003735|GO:0005840|GO:0006412	PF00861	Ribosomal protein L18	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_2358997_22	IPR009056	GO:0009055|GO:0020037	PF00034	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
custom_111639_32	IPR000883	GO:0004129|GO:0009060|GO:0016021|GO:0020037|GO:0055114	PF00115	Cytochrome c oxidase subunit I	KEGG: 00190+1.9.3.1|MetaCyc: PWY-3781|MetaCyc: PWY-4521|MetaCyc: PWY-6692|MetaCyc: PWY-7279|Reactome: R-HSA-5628897|Reactome: R-HSA-611105
custom_1092003_16	IPR001375	GO:0006508|GO:0008236	PF00326	"Peptidase S9, prolyl oligopeptidase, catalytic domain"	
WP_088484831.1	IPR013424	-	PF07589	PEP-CTERM protein-sorting domain	
custom_1039654_7	IPR000266	GO:0003735|GO:0005840|GO:0006412	PF00366	Ribosomal protein S17/S11	
custom_887144_4	IPR000568	GO:0015078|GO:0015986|GO:0045263	PF00119	"ATP synthase, F0 complex, subunit A"	Reactome: R-HSA-163210|Reactome: R-HSA-8949613
OGR01534.1	IPR000673	GO:0000156|GO:0000160|GO:0005737|GO:0006935|GO:0008984	PF01339	"Signal transduction response regulator, chemotaxis, protein-glutamate methylesterase"	
OGR01534.1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
custom_1915206_2	IPR024084	GO:0016616|GO:0055114	PF00180	Isopropylmalate dehydrogenase-like domain	Reactome: R-HSA-71403
WP_072339242.1	IPR000160	-	PF00990	GGDEF domain	
WP_072339242.1	IPR003660	GO:0007165|GO:0016021	PF00672	HAMP domain	
WP_109039507.1	IPR000253	GO:0005515	PF00498	Forkhead-associated (FHA) domain	
custom_982476_23	IPR002048	GO:0005509	PF13202	EF-hand domain	
custom_982476_23	IPR002048	GO:0005509	PF13202	EF-hand domain	
custom_91761_1	IPR006097	GO:0006520|GO:0016491|GO:0055114	PF02812	"Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain"	Reactome: R-HSA-2151201|Reactome: R-HSA-8964539
custom_91761_1	IPR006096	GO:0006520|GO:0016491|GO:0055114	PF00208	"Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal"	Reactome: R-HSA-2151201|Reactome: R-HSA-8964539
WP_047190110.1	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
WP_047190110.1	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
WP_096433913.1	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_2134916_2	IPR002130	GO:0000413|GO:0003755	PF00160	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	
custom_2490497_33	IPR000043	-	PF05221	Adenosylhomocysteinase-like	KEGG: 00270+3.3.1.1|MetaCyc: PWY-5041
custom_2490497_33	IPR015878	-	PF00670	"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"	KEGG: 00270+3.3.1.1|MetaCyc: PWY-5041
custom_779725_1	IPR012336	-	PF13098	Thioredoxin-like fold	
custom_779725_1	IPR018950	-	PF10411	"Disulphide bond isomerase, DsbC/G, N-terminal"	
custom_2613793_4	IPR000754	GO:0003735|GO:0005840|GO:0006412	PF00380	Ribosomal protein S9	
custom_828381_28	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_828381_28	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_46571_4	IPR000754	GO:0003735|GO:0005840|GO:0006412	PF00380	Ribosomal protein S9	
QAA76072.1	IPR001310	-	PF01230	Histidine triad (HIT) protein	
WP_102235956.1	IPR032859	-	PF14714	"GTPase Der, C-terminal KH-domain-like"	
WP_102235956.1	IPR006073	GO:0005525	PF01926	GTP binding domain	
WP_102235956.1	IPR006073	GO:0005525	PF01926	GTP binding domain	
WP_102235956.1	IPR011994	GO:0004127|GO:0005524|GO:0006139	PF02224	Cytidylate kinase domain	KEGG: 00240+2.7.4.25|MetaCyc: PWY-7205
PWS22346.1	IPR003008	GO:0003924	PF00091	"Tubulin/FtsZ, GTPase domain"	Reactome: R-HSA-380320
custom_630996_3	IPR011852	-	PF16868	"TRAP transporter solute receptor, TAXI family"	
custom_890551_2	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
WP_124946663.1	IPR027795	-	PF13840	"CASTOR,  ACT domain"	
WP_124946663.1	IPR002912	-	PF01842	ACT domain	
WP_124946663.1	IPR001048	-	PF00696	Aspartate/glutamate/uridylate kinase	Reactome: R-HSA-8964539
custom_1226620_114	IPR003781	GO:0048037	PF02629	CoA-binding	
custom_1226620_114	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_318999_55	IPR020616	GO:0016747	PF00108	"Thiolase, N-terminal"	
custom_318999_55	IPR020617	GO:0016747	PF02803	"Thiolase, C-terminal"	
WP_014427773.1	IPR001694	GO:0016020|GO:0055114	PF00146	"NADH:ubiquinone oxidoreductase, subunit 1/F420H2 oxidoreductase subunit H"	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
custom_1121552_2	IPR001912	GO:0019843	PF00163	"Ribosomal protein S4/S9, N-terminal"	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226
custom_1121552_2	IPR002942	GO:0003723	PF01479	RNA-binding S4 domain	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_2412278_172	IPR000640	-	PF00679	"Elongation factor EFG, domain V-like"	
custom_2412278_172	IPR005517	GO:0005525	PF03764	"Translation elongation factor EFG/EF2, domain IV"	
custom_2412278_172	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_2412278_172	IPR041095	-	PF14492	"Elongation Factor G, domain II"	
custom_2412278_172	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_113544_4	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_113544_4	IPR032823	-	PF12399	"Branched-chain amino acid ATP-binding cassette transporter, C-terminal"	
WP_068013179.1	IPR007379	-	PF04280	Tim44-like domain	
custom_810604_11	IPR013539	GO:0004018|GO:0006188	PF08328	"Adenylosuccinate lyase PurB, C-terminal"	KEGG: 00230+4.3.2.2|KEGG: 00250+4.3.2.2|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7219|MetaCyc: PWY-7234
custom_810604_11	IPR022761	-	PF00206	"Fumarate lyase, N-terminal"	
custom_1755473_1	IPR000307	GO:0003735|GO:0005840|GO:0006412	PF00886	Ribosomal protein S16	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_066130768.1	IPR023115	-	PF11987	"Translation initiation factor IF- 2, domain 3"	
WP_066130768.1	IPR013575	-	PF08364	"Initiation factor 2 associated domain, bacterial"	
WP_066130768.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_066130768.1	IPR006847	-	PF04760	"Translation initiation factor IF-2, N-terminal"	
WP_066130768.1	IPR006847	-	PF04760	"Translation initiation factor IF-2, N-terminal"	
WP_108887811.1	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
WP_108887811.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
custom_441573_4	IPR001911	GO:0003735|GO:0005840|GO:0006412	PF01165	Ribosomal protein S21	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_030220108.1	IPR003786	GO:0016783	PF02634	Sulfur carrier protein FdhD	
TAH45532.1	IPR020070	-	PF01281	"Ribosomal protein L9, N-terminal"	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
TAH45532.1	IPR020069	-	PF03948	"Ribosomal protein L9, C-terminal"	
WP_011380116.1	IPR007120	GO:0003677|GO:0003899|GO:0006351	PF00562	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	
WP_011380116.1	IPR019462	GO:0003899|GO:0006351	PF10385	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	
WP_011380116.1	IPR007645	GO:0003677|GO:0003899|GO:0006351	PF04565	"RNA polymerase Rpb2, domain 3"	
WP_011380116.1	IPR007644	GO:0003677|GO:0003899|GO:0006351	PF04563	"RNA polymerase, beta subunit, protrusion"	
WP_011380116.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
WP_011380116.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
WP_011380116.1	IPR007641	GO:0003677|GO:0003899|GO:0006351	PF04560	"RNA polymerase Rpb2, domain 7"	
WP_116624474.1	IPR025997	-	PF13407	Periplasmic binding protein	
custom_2434850_9	IPR001943	GO:0005515	PF02151	UVR domain	
custom_2434850_9	IPR024759	-	PF12344	"UvrB, YAD/RRR-motif-containing domain"	
custom_2434850_9	IPR041471	-	PF17757	"UvrB, interaction domain"	
custom_2434850_9	IPR006935	GO:0003677|GO:0005524|GO:0016787	PF04851	"Helicase/UvrB, N-terminal"	
custom_2434850_9	IPR001650	-	PF00271	"Helicase, C-terminal"	
custom_719480_11	IPR007420	-	PF04325	Protein of unknown function DUF465	
custom_2163134_5	IPR000424	GO:0003697	PF00436	Primosome PriB/single-strand DNA-binding	Reactome: R-HSA-2151201
WP_066767450.1	IPR006665	-	PF00691	OmpA-like domain	
WP_066767450.1	IPR027385	-	PF13505	Outer membrane protein beta-barrel domain	
RTL38568.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_2540546_2	IPR020818	GO:0006457	PF00166	GroES chaperonin family	
custom_642073_4	IPR003325	-	PF02342	TerD domain	
OGA83591.1	IPR007120	GO:0003677|GO:0003899|GO:0006351	PF00562	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	
OGA83591.1	IPR007645	GO:0003677|GO:0003899|GO:0006351	PF04565	"RNA polymerase Rpb2, domain 3"	
OGA83591.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
OGA83591.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
OGA83591.1	IPR019462	GO:0003899|GO:0006351	PF10385	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	
OGA83591.1	IPR007641	GO:0003677|GO:0003899|GO:0006351	PF04560	"RNA polymerase Rpb2, domain 7"	
OGA83591.1	IPR007644	GO:0003677|GO:0003899|GO:0006351	PF04563	"RNA polymerase, beta subunit, protrusion"	
PXX78431.1	IPR016040	-	PF16363	NAD(P)-binding domain	
WP_015331802.1	IPR012944	-	PF07980	RagB/SusD domain	
WP_015331802.1	IPR033985	-	PF14322	"SusD-like, N-terminal"	
custom_396187_259	IPR022666	GO:0003735|GO:0005840|GO:0006412	PF00181	"Ribosomal Proteins L2, RNA binding domain"	
custom_396187_259	IPR022669	GO:0003735|GO:0005840|GO:0006412	PF03947	"Ribosomal protein L2, C-terminal"	
OYZ00001.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
OYZ00001.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
OYZ00001.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_102041803.1	IPR020810	-	PF00113	"Enolase, C-terminal TIM barrel domain"	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004
WP_102041803.1	IPR020811	-	PF03952	"Enolase, N-terminal"	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004
custom_2349350_2	IPR031560	-	PF16986	Heavy-metal resistance protein CzcE	
KPK31568.1	IPR029751	GO:0003735|GO:0005840|GO:0006412|GO:0008097	PF01386	Ribosomal protein L25	
KPK31568.1	IPR020057	-	PF14693	"Ribosomal protein L25, beta domain"	
PZN56073.1	IPR004839	GO:0009058|GO:0030170	PF00155	"Aminotransferase, class I/classII"	
OYZ25962.1	IPR004136	GO:0018580|GO:0055114	PF03060	Nitronate monooxygenase	
WP_007090290.1	IPR005479	GO:0005524	PF02786	"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"	
WP_007090290.1	IPR005481	-	PF00289	"Biotin carboxylase-like, N-terminal domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_007090290.1	IPR005482	-	PF02785	"Biotin carboxylase, C-terminal"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_019561538.1	IPR006171	-	PF01751	TOPRIM  domain	
WP_019561538.1	IPR013497	GO:0003677|GO:0003916|GO:0006265	PF01131	"DNA topoisomerase, type IA, central"	
WP_019561538.1	IPR025589	-	PF13342	Topoisomerase C-terminal repeat	
WP_019561538.1	IPR025589	-	PF13342	Topoisomerase C-terminal repeat	
custom_564733_1	IPR011262	GO:0003899|GO:0006351|GO:0046983	PF01000	"DNA-directed RNA polymerase, insert domain"	
custom_564733_1	IPR011263	GO:0003899|GO:0006351	PF01193	"DNA-directed RNA polymerase, RpoA/D/Rpb3-type"	
custom_564733_1	IPR011260	GO:0003677|GO:0003899|GO:0006351	PF03118	"RNA polymerase, alpha subunit, C-terminal"	
custom_630484_2	IPR005001	GO:0003723|GO:0006355	PF17209	RNA-binding protein Hfq	
WP_066257767.1	IPR006059	-	PF13416	Bacterial extracellular solute-binding protein	
custom_2456174_14	IPR020616	GO:0016747	PF00108	"Thiolase, N-terminal"	
custom_2456174_14	IPR020617	GO:0016747	PF02803	"Thiolase, C-terminal"	
RIX46749.1	IPR001107	-	PF01145	Band 7 domain	
custom_618185_38	IPR018968	-	PF09361	Phasin	
custom_1171713_3	IPR028998	-	PF17384	"Ribosome maturation factor RimP, C-terminal"	
custom_1171713_3	IPR028989	-	PF02576	"Ribosome maturation factor RimP, N-terminal"	
custom_159679_21	IPR022488	-	PF03976	Polyphosphate kinase-2-related	
WP_014236334.1	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
custom_40980_2	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_40980_2	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_40980_2	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_1962381_56	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
custom_2277646_3	IPR001926	-	PF00291	Pyridoxal-phosphate dependent enzyme	
OHC61306.1	-	-	PF02239	-	
OHC61306.1	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
custom_496690_5	IPR010918	-	PF02769	"PurM-like, C-terminal domain"	
custom_496690_5	IPR016188	-	PF00586	"PurM-like, N-terminal domain"	
WP_133587753.1	IPR004839	GO:0009058|GO:0030170	PF00155	"Aminotransferase, class I/classII"	
custom_1196567_18	IPR001279	-	PF00753	Metallo-beta-lactamase	
custom_229961_2	IPR003708	GO:0015031|GO:0051082|GO:0051262	PF02556	Bacterial protein export chaperone SecB	
custom_2599667_52	IPR032387	-	PF16177	"Acetyl-coenzyme A synthetase, N-terminal domain"	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857
custom_2599667_52	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
custom_2599667_52	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
custom_717760_28	IPR010269	-	PF05943	"Type VI secretion protein, EvpB/VC_A0108, tail sheath"	
WP_050417154.1	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
WP_050417154.1	-	-	PF02239	-	
WP_025061678.1	IPR000890	GO:0016301|GO:0016310|GO:0016774	PF00871	"Aliphatic acid kinase, short-chain"	KEGG: 00430+2.7.2.1|KEGG: 00620+2.7.2.1|KEGG: 00640+2.7.2.1|KEGG: 00680+2.7.2.1|KEGG: 00720+2.7.2.1|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-8015
custom_1083040_1	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
custom_817201_5	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
custom_2409910_4	IPR028909	GO:0005840	PF00829	Ribosomal protein L21-like	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_074630961.1	IPR020828	GO:0016620|GO:0055114	PF00044	"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
WP_074630961.1	IPR020829	GO:0016620|GO:0055114	PF02800	"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
custom_1614182_149	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
WP_126460339.1	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
custom_1753160_2	IPR000640	-	PF00679	"Elongation factor EFG, domain V-like"	
custom_1753160_2	IPR041095	-	PF14492	"Elongation Factor G, domain II"	
custom_1753160_2	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_1753160_2	IPR005517	GO:0005525	PF03764	"Translation elongation factor EFG/EF2, domain IV"	
custom_1753160_2	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_036209878.1	IPR032106	-	PF16078	"2-oxoglutarate dehydrogenase E1 component, N-terminal domain"	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084
WP_036209878.1	IPR001017	GO:0016624	PF00676	"Dehydrogenase, E1 component"	Reactome: R-HSA-389661
WP_036209878.1	IPR031717	-	PF16870	"Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal"	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084
WP_036209878.1	IPR005475	-	PF02779	"Transketolase-like, pyrimidine-binding domain"	
WP_066307276.1	IPR007698	-	PF01262	"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain"	
WP_066307276.1	IPR007886	-	PF05222	"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal"	
custom_1608118_4	IPR022488	-	PF03976	Polyphosphate kinase-2-related	
custom_1608118_4	IPR022488	-	PF03976	Polyphosphate kinase-2-related	
WP_132259391.1	IPR026017	-	PF00677	Lumazine-binding domain	KEGG: 00740+2.5.1.9|MetaCyc: PWY-6167|MetaCyc: PWY-6168
WP_132259391.1	IPR026017	-	PF00677	Lumazine-binding domain	KEGG: 00740+2.5.1.9|MetaCyc: PWY-6167|MetaCyc: PWY-6168
custom_1087513_2	IPR003256	GO:0003735|GO:0005840|GO:0006412	PF17136	Ribosomal protein L24	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
