protein	eggNOG	eggNOG_name	eggNOG_annotation
custom_820607_4	"1MXNV,2KVIK06389,2VKIR,COG2902,COG2902"	gdhB	Bacterial NAD-glutamate dehydrogenase
custom_908300_7	"1P6RE,2KVJZ06389,2VH59,COG4770,COG4770"	pccA	carboxylase
custom_2061993_5	"1MU1C,2KUBJ06389,2VH91,COG1104,COG1104"	iscS	"Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins"
custom_2239835_1	"1MWUN,1S8KB,3NT6C,COG3203,COG3203"	-	Gram-negative porin
WP_006162812.1	"1JZVS060,1MUEG,2VHI6,COG1840,COG1840"	futA1	Bacterial extracellular solute-binding protein
custom_2079751_15	"1K2J6060,1MV21,2VIAH,COG2609,COG2609"	aceE	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)"""
WP_008833873.1	"1N8AS,2U19M,4BBJB,COG1653,COG1653"	-	Bacterial extracellular solute-binding protein
custom_712779_22	"1NRXG,2TT8F,43HQZ,COG1879,COG1879"	frcB	ABC-type sugar transport system periplasmic component
WP_008906206.1	"1MUQI,2VHA5,4AAGV0864,COG0114,COG0114"	fumC	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate
WP_009207133.1	"1MU3J,2VHHW,COG2805,COG2805"	pilT	twitching motility protein
custom_1838831_5	"1KJK8065,1MUGA,2VH1U,COG0074,COG0074"	sucD	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit"
custom_1369667_4	"1MV8A,2VKBF,COG1653,COG1653"	MA20_44770	ABC transporter substrate-binding protein
custom_1256470_18	"1K4X3060,1MUMF,2VIZ7,COG0334,COG0334"	gdhA	Belongs to the Glu Leu Phe Val dehydrogenases family
custom_1003884_2	"1RGYX,2KWRG06389,2VSGE,COG0185,COG0185"	rpsS	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA
custom_898396_1	"1MUMW,2KUHG06389,2VIR9,COG1077,COG1077"	mreB	Rod shape-determining protein MreB
custom_907064_3	"1MUFQ,2KV7G06389,2VH7U,COG0192,COG0192"	metK	"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme"
custom_864476_2	"1MZXX,2KWRX06389,2VU1C,COG0089,COG0089"	rplW	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome
custom_1039654_2	"1RGYX,2KWRG06389,2VSGE,COG0185,COG0185"	rpsS	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA
custom_2625623_3	"1MU7R,2KV2W06389,2VIMV,COG0489,COG0489"	mrp	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP
custom_294108_5	"1MXJD,2KUQK06389,2VIAW,COG0625,COG0625"	sspA	Belongs to the GST superfamily
custom_462152_1	"1MUX1,2KUNN06389,2VH4P,COG1875,COG1875"	phoH	ATPase related to phosphate starvation-inducible protein PhoH
WP_011287501.1	"1MU0D,2KV1306389,2VHTX,COG4775,COG4775"	bamA	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
custom_2222397_2	"1MUDP,2KUZT06389,2VHQ6,COG0403,COG0403,COG1003,COG1003"	gcvP	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
custom_873135_4	"1RH3A,2KWCD06389,2VR2S,COG0335,COG0335"	rplS	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site
custom_646850_4	"1N5MC,2KVMP06389,2VK35,COG0446,COG0446"	soxF	sulfide dehydrogenase
custom_1467105_2	"1MVW2,2KUV006389,2VI2Y,COG0605,COG0605"	sodB	Destroys radicals which are normally produced within the cells and which are toxic to biological systems
custom_2414944_2	"1MUGA,2KUAR06389,2VH1U,COG0074,COG0074"	sucD	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit"
custom_696391_2	"1R4SV,2KW9606389,2VQP2,COG5490,COG5490"	phaP	Phasin protein
custom_245912_4	"1MUNU,2KUQV06389,2VHJK,COG0126,COG0126"	pgk	Belongs to the phosphoglycerate kinase family
custom_1786498_7	"1MURX,2KVGR06389,2VHGI,COG0191,COG0191"	fba	Aldolase
WP_011289339.1	"1MX89,2KWSW06389,2VM4U,COG3497,COG3497"	-	Phage tail sheath C-terminal domain
custom_118385_23	"1MUGQ,2KV8R06389,2VHYE,COG0174,COG0174"	glnA	glutamine synthetase
WP_011298168.1	"1K77M060,1RH82,2VR79,COG0360,COG0360"	rpsF	Binds together with S18 to 16S ribosomal RNA
WP_011380116.1	"1MUC4,2VHF3,37253003,COG0085,COG0085"	rpoB	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
WP_011397794.1	"1MW9Q,1RNMJ,1XHV4,COG1140,COG1140"	narH	one of 3 nitrate reductases in E. coli and in E. coli is expressed when nitrate levels are high
WP_011479419.1	"1MWPY,2KMM906350,2VI7T,COG0450,COG0450"	ahpC	PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
custom_2459463_2	"1MURH,2VHYF,371VX003,COG0542,COG0542"	clpB	"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE"
custom_2027498_8	"1MU28,2KU8506389,2VJBW,COG0224,COG0224"	atpG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
WP_011765135.1	"1P8MN,2KVHX06389,2VJYV,COG1034,COG1034"	nuoG	COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G)
custom_1136758_3	"1MXC8,2VQ63,4AA7I0864,COG0049,COG0049"	rpsG	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA"
custom_1275164_31	"1MU28,2VJBW,4AC1G0864,COG0224,COG0224"	atpG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
custom_457348_67	"1MU14,2VKUA,4AB500864,COG0250,COG0250"	nusG	"Participates in transcription elongation, termination and antitermination"
custom_457348_8	"1MWIR,2VJI2,4ACXS0864,COG0252,COG0252"	ansB	Belongs to the asparaginase 1 family
custom_62948_18	"1MXR4,2VHP9,4ACT40864,COG0683,COG0683"	-	PFAM Extracellular ligand-binding receptor
custom_2256847_19	"1N9T3,2VV02,4AFAP0864,COG1544,COG1544"	hpf	Sigma 54 modulation protein / S30EA ribosomal protein
custom_1379073_50	"1N4ZT,2VGZ4,4AA8N0864,COG3240,COG3240"	lip-1	lipolytic protein G-D-S-L family
custom_2082819_34	"1MZQD,2VUC6,4AEBZ0864,COG0198,COG0198"	rplX	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit
custom_2082819_31	"1RDG3,2VRBD,4ADJT0864,COG0096,COG0096"	rpsH	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit"
custom_431155_29	"1NUIV,2VHCZ,4A9J40864,COG3696,COG3696"	czcA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
custom_2013043_17	"1MUV6,2VI60,4A9Q20864,COG0405,COG0405"	ggt	gamma-glutamyltransferase
custom_2256020_31	"1MUBE,2VJI3,4ABKH0864,COG0031,COG0031"	cysK	Belongs to the cysteine synthase cystathionine beta- synthase family
custom_256864_28	"1RAIB,2VKKQ,4ADD60864,COG2930,COG2930"	-	Las17-binding protein actin regulator
custom_2505388_45	"1MWTM,2VH5W,4ACEQ0864,COG1744,COG1744"	med	PFAM Basic membrane lipoprotein
custom_918192_28	"1MVMD,2VH1J,4ABCI0864,COG4663,COG4663"	-	Part of the tripartite ATP-independent periplasmic (TRAP) transport system
custom_1878291_2	"1MVH6,2VHXJ,4ABCD0864,COG2086,COG2086"	etfB	Electron transfer flavoprotein
custom_1975239_10	"1MU5M,2VHM6,4ABBD0864,COG1053,COG1053"	sdhA	Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily
custom_2067437_81	"1MXEX,2VJTU,4AAYT0864,COG3181,COG3181"	-	PFAM conserved
WP_012204539.1	"1MUQI,2VHA5,4AAGV0864,COG0114,COG0114"	fumC	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate
custom_2422653_71	"1MZ3K,2VQAE,4AE1K0864,COG0589,COG0589"	-	Universal stress protein
custom_1077679_34	"1MUVY,2VH5P,4AD930864,COG1464,COG1464"	metQ	PFAM NLPA lipoprotein
custom_1904742_61	"1MZ5B,2VU4V,4AEG80864,COG0776,COG0776"	hupB	"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions"
custom_2456411_12	"1QHMD,2VJZ0,4ABZZ0864,COG2866,COG2866"	-	"Peptidase M14, carboxypeptidase A"
custom_1678487_14	"1MWT7,2VH2X,4AA390864,COG0195,COG0195"	nusA	Participates in both transcription termination and antitermination
custom_1678487_28	"1MZC6,2VU7D,4AEXB0864,COG4315,COG4315"	MA20_31645	PFAM Secreted repeat of
custom_1643833_40	"1RGWC,2VSHQ,4AE0C0864,COG0229,COG0229"	msrB	PFAM Methionine sulfoxide reductase B
custom_1506855_11	"1N7YA,2VW5J,COG2916,COG2916"	-	PFAM histone family protein nucleoid-structuring protein H-NS
custom_314721_35	"1N26J,2VT83,4AEKN0864,COG2032,COG2032"	sodC	Destroys radicals which are normally produced within the cells and which are toxic to biological systems
custom_1938223_56	"1MVU6,2VH37,4AA630864,COG0644,COG0644,COG2440,COG2440"	etf	Electron transfer flavoprotein-ubiquinone oxidoreductase
custom_1938223_106	"1MZ3K,2VSW6,4AEJJ0864,COG0589,COG0589"	-	Universal stress protein
custom_482622_269	"1N6EM,2VM27,4ACAI0864,COG2885,COG2885"	ompA	Belongs to the ompA family
custom_1438714_5	"1NUZJ,2VR6Y,4AC9T0864,COG3047,COG3047"	ompW	PFAM OmpW family protein
custom_41974_3	"1MUCF,2VJ2E,4ABJZ0864,COG1158,COG1158"	rho	"Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template"
custom_2051367_52	"1MWPY,2VI7T,4A9TG0864,COG0450,COG0450"	ahpC	PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
custom_57687_55	"1MUJZ,2VHDH,4A9XE0864,COG0653,COG0653"	secA	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane"
custom_212981_12	"1R4IH,2WEHF,4AJNH0864,COG0834,COG0834"	aatB	"PFAM Extracellular solute-binding protein, family 3"
custom_35485_77	"1MZ2X,2VSKJ,4AECC0864,COG0234,COG0234"	groS	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
custom_718365_2	"1MVN2,2WGKZ,4AJVA0864,COG0189,COG0189"	cphA	TIGRFAM cyanophycin synthetase
custom_381122_29	"1MWUN,2VMU4,4ACEH0864,COG3203,COG3203"	-	PFAM porin Gram-negative type
custom_1806150_17	"1N6VR,2VR38,4ADY70864,COG0724,COG0724"	rbpA	PFAM RNP-1 like RNA-binding protein
WP_012353056.1	"1K41J060,1MURH,2VHYF,COG0542,COG0542"	clpB	"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE"
WP_012435902.1	"1K1V8060,1MU2U,2VI6G,COG1249,COG1249"	lpdA	Dehydrogenase
custom_2418993_2	"1QIBX,COG3659,COG3659"	-	PFAM Carbohydrate-selective porin OprB
WP_012585860.1	"1MU2U,2KUBK06389,2VI6G,COG1249,COG1249"	lpdA	"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
custom_1508467_1	"1KQHT066,1NUIV,2VHCZ,COG3696,COG3696"	czcA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
custom_1088519_1	"1KR83066,1MVVY,2VKWB,COG0480,COG0480"	fusA2	"Elongation factor G, domain IV"
custom_95406_17	"1KQ7I066,1MUQ3,2VI3K,COG2885,COG2885,COG3808,COG3808"	hppA	Proton pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for proton movement across the membrane. Generates a proton motive force
WP_013205653.1	"1K3FX060,1MVIN,2VHEC,COG0649,COG0649"	nuoD	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"
WP_013517800.1	"1MUJZ,2VHDH,4A9XE0864,COG0653,COG0653"	secA	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane"
custom_2474004_13	"1MUG7,2VHQU,371UU003,COG0056,COG0056"	atpA	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
WP_013744694.1	"1MURR,2VIW1,3T2D006,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
WP_013767690.1	"1INV9,4NEHE,COG0574,COG0574,COG1080,COG1080"	ppdK	Belongs to the PEP-utilizing enzyme family
custom_138683_16	"38C4X,3BDQV08,3CYAF,3JAQF0674,488WH,4964F,4IXGS,COG0183,KOG1390"	-	acetyl-CoA acetyltransferase
custom_2205267_79	"1MVEN,2VH14,4ABI00864,COG0443,COG0443"	dnaK	Heat shock 70 kDa protein
custom_2051367_119	"1MUMF,2VIZ7,4AC120864,COG0334,COG0334"	gdhA	Belongs to the Glu Leu Phe Val dehydrogenases family
custom_427275_6	"1QXJ4,2DBMY,2VN17,2ZA0V,4AAH70864"	-	Domain of Unknown Function (DUF349)
WP_013801447.1	"1MUS2,2VHSG,4AA100864,COG0264,COG0264"	tsf	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
custom_301458_51	"1MU08,2VHKE,4AAHB0864,COG2217,COG2217"	cadA	heavy metal translocating P-type ATPase
custom_2386055_91	"1MU39,2VJ86,4ABTM0864,COG0793,COG0793"	ctpA	Belongs to the peptidase S41A family
custom_2082819_30	"1R9YZ,2VQ4W,4AC4Q0864,COG0097,COG0097"	rplF	"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center"
custom_1383198_32	"1RAC5,2VHJI,4ABZ50864,COG0783,COG0783"	dps	Belongs to the Dps family
custom_471435_6	"1MYBP,2VR0Y,4ACMC0864,COG2885,COG2885"	yiaD	Belongs to the ompA family
custom_1115708_20	"1MURR,2K0H304457,2TS07,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
WP_014235489.1	"1MUE6,2KUA306389,2VHDK,COG0081,COG0081"	rplA	"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release"
WP_014235623.1	"1NS3T,2KUYS06389,2VIB1,COG0243,COG0243"	napA	nitrate reductase (NAP). Only expressed at high levels during aerobic growth. NapAB complex receives electrons from the membrane-anchored tetraheme protein NapC
custom_1898692_4	"1RGWK,2KWCQ06389,2VSEZ,COG0347,COG0347"	glnK	Belongs to the P(II) protein family
WP_014236077.1	"1MU68,2KV5906389,2VH50,COG3243,COG3243"	phbC	poly(R)-hydroxyalkanoic acid synthase
WP_014237276.1	"1MU2U,2KUQ106389,2VI6G,COG1249,COG1249"	lpdA	"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
WP_014237572.1	"1MUEV,2KVXS06389,2VH8R,COG1028,COG1028"	-	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
custom_720974_5	"1PCPQ,2KUNJ06389,2VMAB,COG1538,COG1538"	cebC	PFAM Outer membrane efflux protein
custom_191623_4	"1MVHC,2KV1X06389,2VHPJ,COG1638,COG1638"	dctP	"COG1638 TRAP-type C4-dicarboxylate transport system, periplasmic component"
WP_014238374.1	"1MU9A,2KVJ106389,2VH6Z,COG0013,COG0013"	alaS	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
custom_2602326_15	"1KJQS065,1MVHS,2VIKC,COG0479,COG0479"	sdhB	Belongs to the succinate dehydrogenase fumarate reductase iron-sulfur protein family
WP_014778739.1	"1MU93,1RMBM,1WXC0,COG0057,COG0057"	gapA	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
custom_840195_3	"1MXJD,2KUQK06389,2VIAW,COG0625,COG0625"	sspA	Belongs to the GST superfamily
WP_015434657.1	"1MVMD,2KURQ06389,2VH1J,COG4663,COG4663"	-	Part of the tripartite ATP-independent periplasmic (TRAP) transport system
WP_015434685.1	"1MUSK,2KUU806389,2VHJ9,COG0312,COG0312"	tldD	modulator of DNA gyrase
WP_015434721.1	"1MUF5,2KV9F06389,2VI3T,COG0365,COG0365"	prpE	COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases
custom_257224_4	"1MUEV,2KVKX06389,2VH8R,COG1028,COG1028"	-	Belongs to the short-chain dehydrogenases reductases (SDR) family
custom_1912961_11	"1MUTQ,2KURC06389,2VH5Q,COG0129,COG0129"	ilvD	Belongs to the IlvD Edd family
custom_1342258_2	"1MVAX,2KU7006389,2VIYF,COG4799,COG4799"	pccB	"Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)"""
custom_2541151_10	"1KQC1066,1P6RE,2VH59,COG4770,COG4770"	pccA	Biotin carboxylase C-terminal domain
custom_2068493_24	"1KQHW066,1MV1N,2VJTA,COG1344,COG1344"	fliC	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
custom_2059775_19	"1MUU4,2VHI3,COG2067,COG2067"	fadL	"Outer membrane protein transport protein, Ompp1 FadL TodX"
custom_2422653_51	"1MUF5,2VIP3,4AARI0864,COG0365,COG0365"	acsA	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"
custom_2422653_71	"1MZ3K,2VQAE,4AE1K0864,COG0589,COG0589"	-	Universal stress protein
custom_1077679_109	"1MXEY,2VIJ2,4ABQK0864,COG2993,COG2993"	ccoO	"cytochrome c oxidase, cbb3-type, subunit II"
custom_488159_14	"1MW18,2VHVS,4AC3Y0864,COG3181,COG3181"	-	PFAM conserved
custom_1350246_88	"1MZTV,2VSP6,4ADHE0864,COG2885,COG2885"	pal	Belongs to the ompA family
custom_2451886_21	"1MV21,2VIAH,4A9W90864,COG2609,COG2609"	aceE	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)"""
WP_016447489.1	"1MUS2,2VHSG,4AA100864,COG0264,COG0264"	tsf	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
custom_2051367_44	"1MU0R,2VHQ3,4AA180864,COG0574,COG0574,COG1080,COG1080"	ppsA	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate
custom_1819224_95	"3AB1U,3CAQ408,3DGKG,COG0431,KOG4530"	-	NADPH-dependent FMN reductase
custom_2505388_61	"1N7YA,2VW5J,4AFDI0864,COG2916,COG2916"	-	histone family protein nucleoid-structuring protein H-NS
custom_21785_13	"1MUJD,2VIEM,4AAG40864,COG0508,COG0508"	sucB	The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2)
custom_443764_3	"1MVAX,2VIYF,4AAS70864,COG4799,COG4799"	pccB	PFAM carboxyl transferase
custom_316845_64	"1MVC0,2KVV406389,2VH5D,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
WP_018605525.1	"1MUU9,2KUBB06389,2VHCP,COG0094,COG0094"	rplE	"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits"
WP_018606348.1	"1MVAV,2KUBW06389,2VI12,COG0539,COG0539"	rpsA	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence
WP_018607717.1	"1RGWK,2KWKR06389,2VSEZ,COG0347,COG0347"	glnB	Belongs to the P(II) protein family
custom_2098107_2	"1MZ4P,2KWX106389,2VTZH,COG0236,COG0236"	acpP	Carrier of the growing fatty acid chain in fatty acid biosynthesis
WP_018953727.1	"1MVC0,1RMYX,1WWIK,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
custom_1191781_3	"1NQME,2KUBN06389,2VHYA,COG2873,COG2873"	metY	O-acetylhomoserine
custom_1188146_15	"1MVCE,2VHBG,4AA820864,COG0045,COG0045"	sucC	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
