contigs	genomes	go	shared name	Colouring	ES	fdr_qvalue	fwer_qvalue	Genes	GS_DESCR	gs_size	NES	pvalue	Type
WP_005401812.1	MAG-31	GO:0015344	GO:0015344	0.995	0.7211	0.2042	0.9135	WP_062355169.1|WP_056667571.1|WP_011111165.1|WP_094285823.1|KYP12474.1|OHC65946.1|WP_011483958.1|RTL36445.1|WP_013396539.1|AMO25608.1|OHC69318.1|WP_072598857.1|WP_024930613.1|WP_084651312.1|WP_099742771.1|WP_052433592.1|WP_079689914.1|OBY87292.1|TAG79342.1|WP_082007526.1|WP_004374157.1|WP_011286820.1|WP_012585999.1|WP_005401812.1|WP_027457926.1|WP_011485651.1|WP_066886332.1|TEX44246.1|RIX42988.1|WP_083537792.1|SFZ76346.1	siderophore uptake transmembrane transporter activity	31	1.549	0.005	Cr
WP_005401812.1	MAG-31	GO:0015891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cr
"OYT19536.1,KFB75511.1,WP_121164464.1,WP_079437051.1,KFB71020.1,WP_124811251.1"	"MAG-129,MAG-136,MAG-181,MAG-263,MAG-28,MAG-89"	GO:0016787	GO:0016787	0.9808	0.6924	0.2193	0.9995	WP_062350419.1|WP_121164464.1|RTL21839.1|WP_056441363.1|KFB76691.1|WP_012186024.1|WP_012207122.1|KFB71020.1|KFB75511.1|KFB75340.1|PZQ27413.1|WP_018715689.1|WP_079435861.1|OYT19536.1|WP_015437430.1|EXI84566.1|PYS46443.1|EXI73314.1|PYY24654.1|WP_079435025.1|PKO37448.1|WP_108179098.1|WP_028994318.1|OIN94067.1|WP_076828331.1|WP_012204414.1|WP_124811251.1|RTL33995.1|WP_079437051.1	hydrolase activity	29	1.4734	0.0192	Cr
EYU06092.1	MAG-154	GO:0019829	GO:0019829	0.9911	0.7342	0.2047	0.9683	PZR31861.1|WP_013673482.1|WP_013803090.1|WP_136386246.1|OJX35469.1|WP_015878143.1|WP_083281205.1|RIX44646.1|WP_083293141.1|PZQ74733.1|WP_124961768.1|WP_005670933.1|WP_084652092.1|ETK39847.1|EYU06092.1|WP_084173694.1|WP_129572018.1|WP_102770819.1|WP_104801476.1|WP_088179356.1|PKO35889.1|WP_079436222.1|WP_084019513.1|WP_089056865.1|RYF24492.1|PWT95088.1	cation-transporting ATPase activity	26	1.5276	0.0089	Cr
WP_005401812.1	MAG-31	GO:0038023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cr
EYU06092.1	MAG-154	K01534	K01534	0.9838	0.7344	0.2036	0.998	WP_013803090.1|WP_136386246.1|OJX35469.1|WP_083281205.1|RIX44646.1|WP_083293141.1|PZR31861.1|PZQ74733.1|WP_124961768.1|WP_005670933.1|WP_084652092.1|EYU06092.1|ETK39847.1|WP_084173694.1|WP_129572018.1|WP_102770819.1|WP_104801476.1|PKO35889.1|WP_079436222.1|WP_084019513.1|WP_089056865.1|RYF24492.1	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	22	1.4894	0.0162	Cr
WP_108174742.1	MAG-204	K02035	K02035	0.9903	0.7587	0.218	0.9422	WP_012203170.1|ODU08447.1|WP_106749357.1|WP_108174742.1|WP_128230387.1|WP_108178078.1|WP_103720641.1|WP_121583991.1|WP_136958704.1|OYU18544.1|RWA97318.1|WP_019170061.1|RCW74188.1|WP_043232190.1|WP_137099727.1|WP_108174588.1|WP_108176493.1|WP_137099997.1|WP_085465904.1|GCL62669.1|WP_008837167.1|RWL42339.1	ABC.PE.S; peptide/nickel transport system substrate-binding protein	22	1.5389	0.0097	Cr
"EXI84053.1,WP_121456722.1,WP_121456722.1"	"MAG-105,MAG-165,MAG-211"	K02996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cr
PZQ20775.1	MAG-164	K03594	K03594	0.9843	0.7493	0.1897	0.9954	PZP50757.1|PZQ20775.1|RTK97990.1|WP_043104313.1|WP_004309883.1|WP_031432434.1|EXI87045.1|ABX33534.1|WP_058936400.1|OYU26710.1|BAL26172.1|OHC66141.1|RTL40456.1|WP_102042848.1|TEX44224.1|OGA90829.1|WP_110526704.1|WP_012206872.1|WP_013967114.1|OQW84457.1	bfr; bacterioferritin [EC:1.16.3.1]	20	1.4973	0.0157	Cr
"BBB07588.1,WP_062357863.1,PZQ81723.1,KFB73305.1"	"MAG-104,MAG-154,MAG-162,MAG-28"	K03640	K03640	0.9751	0.7497	0.2386	1	WP_106826496.1|PZQ81723.1|WP_016446824.1|ABF52050.1|WP_090317822.1|WP_117610020.1|RIX44016.1|EKE09909.1|BBB07588.1|TEX47728.1|WP_079435433.1|KFB73305.1|WP_121580518.1|EXI69642.1|SFH37731.1|SBT04079.1|WP_108177630.1|WP_062357863.1	pal; peptidoglycan-associated lipoprotein	18	1.4596	0.0249	Cr
WP_009553167.1	MAG-42	K17321	K17321	0.9884	0.8113	0.206	0.9768	WP_009553167.1|WP_092298750.1|PJI40634.1|WP_113125646.1|WP_117178120.1|WP_119751930.1|WP_133703463.1|WP_137129058.1|WP_011465934.1|WP_119388266.1|WP_119270944.1|KJS19400.1|WP_125404343.1|WP_012202962.1|WP_121583424.1	glpV; glycerol transport system substrate-binding protein	15	1.5229	0.0116	Cr
