contigs	genomes	go	shared name	Colouring	ES	fdr_qvalue	fwer_qvalue	Genes	GS_DESCR	gs_size	NES	pvalue	Type
"EXI88855.1,EXI88854.1,KFB66910.1,KFB66912.1,WP_015765720.1"	"MAG-105,MAG-136,MAG-189"	1RB94	1RB94	-0.9998	-0.8704	0.0102	0.0328	SBT07161.1|WP_081444106.1|EXI66301.1|EXI71362.1|WP_015765720.1|EXI66302.1|EXI88854.1|EXI88855.1|KFB66910.1|KFB66912.1|KFB73571.1|KFB73572.1|KFB78005.1|WP_083768692.1|WP_012584828.1|WP_043744385.1	COG3203 Outer membrane protein (porin)	16	-1.9152	2.00E-04	Ni
"EXI90689.1,KFB74895.1,KFB74895.1,KFB74895.1,KFB74895.1,KFB74895.1"	"MAG-105,MAG-136,MAG-163,MAG-169,MAG-20,MAG-28"	2VH8R	2VH8R	-0.9787	-0.6126	0.1836	0.9996	KFB74895.1|SBT06690.1|WP_088382570.1|GCL61065.1|WP_112993160.1|WP_004259356.1|WP_004266007.1|WP_066879382.1|WP_069037386.1|OHC72288.1|OJX17264.1|WP_076092920.1|WP_079436675.1|PKO37690.1|TAK80989.1|WP_117608680.1|WP_014237572.1|WP_015436736.1|WP_027458166.1|RPJ44264.1|RYF80491.1|TEX48147.1|CDH47611.1|WP_079436674.1|WP_124219361.1|PKO83537.1|EXI90689.1	Belongs to the short-chain dehydrogenases reductases (SDR) family	27	-1.5043	0.0213	Ni
"EXI79150.1,WP_028995009.1"	"MAG-105,MAG-44"	2VIJF	2VIJF	-0.9837	-0.6016	0.1611	0.9989	WP_007866641.1|TAK91950.1|WP_004361350.1|WP_011239598.1|WP_011288588.1|WP_056876738.1|WP_012204342.1|WP_114401430.1|WP_015435441.1|WP_128198914.1|WP_028995009.1|OFZ97010.1|OHC70316.1|WP_090702123.1|PKO90014.1|WP_117609045.1|WP_121241506.1|WP_121457279.1|RTL37413.1|TAH41053.1|TEX44640.1|EXI78438.1|EXI68690.1|EXI79150.1|KFB68261.1|KFB77946.1|OJY14595.1|RZI70655.1|KPK19984.1|OIP08438.1	Belongs to the citrate synthase family	30	-1.5231	0.0163	Ni
"EXI90485.1,KFB77558.1,WP_011287385.1,TEX48162.1,EXI67290.1,WP_011287385.1,EXI67290.1,EXI67290.1,KFB77558.1,KFB77558.1"	"MAG-105,MAG-136,MAG-137,MAG-169,MAG-189,MAG-256,MAG-28"	2VIP3	2VIP3	-0.9736	-0.5497	0.2137	1	WP_113039516.1|WP_004356433.1|WP_011287385.1|WP_027458181.1|WP_066879354.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|TEX48162.1|EXI67290.1|WP_079500942.1|EXI90485.1|KFB77558.1|WP_016445177.1|CDW92237.1|WP_026687144.1|WP_056321934.1|WP_068805178.1|WP_069037425.1|WP_126768911.1|WP_130433995.1|WP_008327298.1|SMB26786.1|WP_108420862.1|BBG72102.1|OHC63200.1|WP_100118974.1|RYF73834.1|WP_133602686.1|WP_038212960.1|OYU98291.1|WP_107729813.1|WP_124446715.1|RTL46997.1|OIO78136.1|WP_072427658.1	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"	38	-1.4569	0.0264	Ni
"EXI89542.1,EXI89542.1,EXI89542.1,KFB75399.1,KFB66372.1,EXI92924.1,ACV34416.1,ACV34416.1"	"MAG-105,MAG-136,MAG-169,MAG-20,MAG-28"	2VM27	2VM27	-0.9967	-0.662	0.0646	0.7202	WP_132570931.1|WP_128196787.1|WP_004252965.1|WP_012206517.1|WP_019919114.1|WP_026685518.1|WP_053419840.1|RTL03953.1|WP_011766315.1|KFB73466.1|WP_131111132.1|SBT09970.1|WP_008062595.1|WP_028248820.1|SBT05161.1|WP_047195791.1|ACV34416.1|EXI89540.1|PKO62809.1|EXI89542.1|EXI92924.1|KFB66372.1|WP_013966642.1|KFB66374.1|WP_004303499.1|KFB71000.1|KFB75399.1|WP_066883411.1|WP_079434031.1|WP_110524092.1|WP_117609169.1	Belongs to the ompA family	31	-1.687	0.0033	Ni
"WP_000813006.1,KFB77939.1,KFB77939.1,KFB77939.1"	"MAG-102,MAG-136,MAG-163,MAG-28"	COG0039	COG0039	-0.968	-0.5894	0.2158	1	OFX78209.1|KFB77939.1|WP_000813006.1|WP_091935138.1|WP_106747153.1|WP_028500682.1|PKO83985.1|WP_011500960.1|WP_015279261.1|WP_086067986.1|CDH47300.1|WP_067661542.1|EIL97467.1|OJU29200.1|WP_004303349.1|WP_062352354.1|WP_066882616.1|WP_087281662.1|PKO34329.1|WP_110524736.1|WP_114695583.1|PZR27705.1|GCL66026.1|WP_079685062.1|WP_087660431.1|WP_031408364.1|PZN56990.1|WP_079418842.1	L-malate dehydrogenase activity	28	-1.4695	0.032	Ni
KFB78215.1	MAG-28	COG0067	COG0067	0.9906	0.7239	0.1588	0.8484	WP_079434406.1|WP_102245658.1|WP_117610156.1|WP_130459456.1|WP_078121737.1|PHY03308.1|OZB45857.1|AGW92175.1|WP_102040584.1|EXI82919.1|OGB53242.1|KFB78215.1|WP_026259429.1|ODU69919.1|WP_100265336.1|EEQ94142.1|WP_011285986.1|WP_050417645.1	glutamate synthase	18	1.6647	0.0094	Ni
KFB78215.1	MAG-28	COG0069	COG0069	0.9894	0.7239	0.1401	0.7218	WP_079434406.1|WP_102245658.1|WP_117610156.1|WP_130459456.1|WP_078121737.1|PHY03308.1|OZB45857.1|AGW92175.1|WP_102040584.1|EXI82919.1|OGB53242.1|KFB78215.1|WP_026259429.1|ODU69919.1|WP_100265336.1|EEQ94142.1|RTL26355.1|WP_011285986.1|WP_050417645.1	glutamate synthase activity	19	1.7012	0.0106	Ni
KFB78215.1	MAG-28	COG0070	COG0070	0.9761	0.7145	0.2003	0.9736	WP_079434406.1|WP_102245658.1|WP_117610156.1|WP_130459456.1|WP_078121737.1|PHY03308.1|OZB45857.1|AGW92175.1|WP_102040584.1|EXI82919.1|OGB53242.1|KFB78215.1|ODU69919.1|EEQ94142.1|WP_011285986.1|WP_050417645.1	L-glutamate biosynthetic process	16	1.5935	0.0239	Ni
WP_066882891.1	MAG-165	COG0129	COG0129	0.9938	0.7538	0.2387	0.5802	WP_011236835.1|WP_050417438.1|WP_066882891.1|WP_132249930.1|OYU48789.1|PYV26166.1|OYY58949.1|WP_041547671.1|WP_015437464.1|TCW38113.1|WP_035678795.1|WP_117607631.1|RDE50182.1|WP_007680863.1|KFB70734.1|WP_004721665.1|WP_126463609.1|WP_002931890.1	dihydroxy-acid dehydratase activity	18	1.7343	0.0062	Ni
"KFB68186.1,KFB66257.1,KFB68186.1,KFB68186.1,WP_048674821.1,KFB68186.1,KFB68186.1,KFB68186.1,KFB66257.1,KFB68186.1"	"MAG-105,MAG-136,MAG-163,MAG-192,MAG-20,MAG-256,MAG-28"	COG0148	COG0148	-0.9969	-0.6734	0.0682	0.7193	WP_100378545.1|KFB68186.1|EXI74690.1|EXI86829.1|KFB66257.1|OLL99361.1|WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|CCL39299.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|WP_048674821.1|KIF33670.1|OGW34266.1|WP_079690089.1|RUQ37377.1|RUT95275.1|KXK23501.1|ODT50015.1|WP_079446987.1|OLC74155.1	phosphopyruvate hydratase activity	28	-1.6872	0.0031	Ni
"KFB67736.1,WP_011289321.1,KFB67736.1,WP_011289321.1"	"MAG-136,MAG-165,MAG-28,MAG-44"	COG0191	COG0191	-0.9637	-0.6174	0.2186	1	WP_015765413.1|WP_058718401.1|WP_116533100.1|WP_066739413.1|OJW54111.1|WP_055422581.1|WP_011289321.1|WP_008452502.1|WP_054622132.1|RUQ29426.1|WP_020159118.1|KFB67736.1|WP_048670083.1|WP_056668985.1|WP_116959715.1|WP_088813028.1|TAK62445.1|WP_110256738.1|SCX09618.1|PKO70472.1|OIP82009.1|RTL28629.1	fructose-bisphosphate aldolase activity	22	-1.4594	0.0363	Ni
"EXI89114.1,EXI90485.1,KFB75248.1,KFB77558.1,WP_011287385.1,TEX48162.1,EXI67290.1,WP_011287385.1,EXI67290.1,EXI67290.1,KFB77558.1,KFB77558.1"	"MAG-105,MAG-136,MAG-137,MAG-169,MAG-189,MAG-256,MAG-28"	COG0365	COG0365	-0.9969	-0.519	0.146	0.9975	WP_113039516.1|EXI80502.1|WP_004356433.1|WP_062308455.1|OYX42542.1|WP_011287385.1|EXI79882.1|WP_027458181.1|EXI89114.1|WP_066879354.1|KFB71744.1|WP_079433904.1|KFB75248.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|SUX33145.1|TEX48162.1|RTL24666.1|WP_079500942.1|EXI65852.1|KGA11706.1|WP_051313492.1|WP_082590223.1|WP_108515188.1|PYQ36883.1|WP_121352471.1|WP_106750131.1|EXI67290.1|WP_108176231.1|EXI90485.1|KFB77558.1|WP_015434721.1|WP_016445177.1|CDW92237.1|WP_026687144.1|WP_056321934.1|WP_056881558.1|WP_062353611.1|WP_068805178.1|WP_069037425.1|WP_083833987.1|WP_121456916.1|RTL47532.1|WP_126768911.1|WP_130433995.1|WP_004308966.1|WP_008327298.1|WP_011785686.1|WP_050416931.1|PKO80311.1|SMB26786.1|WP_108420862.1|WP_116533741.1|BBG72102.1|WP_004334373.1|WP_012831206.1|WP_019644776.1|KER84787.1|OHC63200.1|WP_076092653.1|WP_100118974.1|RYF73834.1|WP_133602686.1|CDH44918.1|WP_038212960.1|OYU98291.1|WP_107729813.1|WP_124446715.1|RTL46997.1|WP_127399087.1|WP_048673706.1|WP_108887811.1|OIO78136.1|WP_072427658.1	acetate-CoA ligase activity	77	-1.5406	0.0031	Ni
"EXI79150.1,WP_028995009.1"	"MAG-105,MAG-44"	COG0372	COG0372	-0.9991	-0.6363	0.0486	0.5265	WP_013215864.1|WP_055037836.1|WP_075187930.1|WP_007866641.1|WP_011158456.1|WP_068082899.1|TAK91950.1|WP_004651294.1|WP_108176835.1|OGP09261.1|WP_004361350.1|WP_011239598.1|WP_011288588.1|WP_056876738.1|WP_012204342.1|WP_114401430.1|WP_015435441.1|WP_128198914.1|WP_028995009.1|OFZ97010.1|OHC70316.1|WP_090702123.1|PKO90014.1|WP_117609045.1|WP_121241506.1|WP_121457279.1|RTL37413.1|TAH41053.1|TEX44640.1|WP_084269874.1|EXI78438.1|EXI68690.1|WP_020891317.1|EXI79150.1|PZR33558.1|KFB68261.1|KFB77946.1|OJY14595.1|RZI70655.1|WP_042084243.1|KPK19984.1|OIP08438.1|PJI38023.1|WP_133314182.1	Belongs to the citrate synthase family	44	-1.7284	9.00E-04	Ni
"WP_117609047.1,WP_117609047.1,WP_117609047.1"	"MAG-137,MAG-165,MAG-189"	COG0479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ni
"EXI89332.1,KFB76033.1,WP_027458585.1,SBT04026.1,EXI93095.1,KFB76033.1"	"MAG-105,MAG-136,MAG-165,MAG-20,MAG-219,MAG-28"	COG0574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ni
ODS67530.1	MAG-131	COG1012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ni
"EXI90689.1,KFB77420.1,KFB74895.1,KFB74895.1,KFB74895.1,WP_106747191.1,WP_137098281.1,KFB74895.1,RTK98005.1,OGB18647.1,KFB77420.1,KFB74895.1"	"MAG-105,MAG-136,MAG-163,MAG-169,MAG-204,MAG-20,MAG-220,MAG-242,MAG-256,MAG-28"	COG1028	COG1028	-0.9998	-0.6157	0.06	0.3687	WP_055423698.1|WP_012204702.1|PZP35811.1|WP_014237572.1|WP_015436736.1|WP_027458166.1|RPJ44264.1|RTK98005.1|WP_004579485.1|GBE42232.1|RYF80491.1|WP_110016609.1|TEX48147.1|CDH47611.1|PZQ52337.1|WP_137098281.1|WP_034994456.1|WP_079436674.1|WP_124219361.1|WP_008121844.1|PKO83537.1|WP_105998743.1|WP_108893374.1|WP_024516532.1|EXI90689.1|WP_048670196.1|KFB74895.1|WP_062590256.1|SBT06690.1|WP_088382570.1|PKP68941.1|GCL61065.1|WP_112993160.1|WP_042822737.1|OYU49894.1|WP_129635243.1|WP_004259356.1|WP_004266007.1|WP_066879382.1|WP_069037386.1|PPR64223.1|OHC72288.1|OJX17264.1|WP_076092920.1|WP_079436675.1|WP_106747191.1|PKO37690.1|KFB77420.1|EXI80970.1|OJW50701.1|WP_107694191.1|OYW41808.1|PZQ24575.1|TAK80989.1|OQW98249.1|WP_117608680.1|ALL65941.1|OGB18647.1|WP_036246954.1	Short-chain dehydrogenase reductase Sdr	59	-1.7617	2.00E-04	Ni
"AHA36497.1,AHA36497.1,AHA36497.1,KFB69440.1,AHA36497.1,KFB69440.1,AHA36497.1,AHA36497.1"	"MAG-129,MAG-136,MAG-194,MAG-28,MAG-46,MAG-4"	COG1140	COG1140	-0.9987	-0.802	0.0685	0.3625	WP_011397794.1|KFB69440.1|WP_070987526.1|WP_110258092.1|WP_092997584.1|TAL86698.1|WP_137098945.1|WP_132542637.1|RUQ40370.1|WP_004301710.1|WP_012203041.1|WP_121428012.1|AHA36497.1|WP_087648738.1|BBG74083.1|WP_020564490.1	nitrate reductase beta subunit	16	-1.7632	0.0013	Ni
"EXI90708.1,EXI85807.1,EXI86345.1,KFB75089.1,KFB75091.1,KFB67540.1,KFB71158.1,EXI67961.1,KFB74231.1,KFB75089.1,KFB71918.1"	"MAG-105,MAG-136,MAG-169,MAG-28"	COG1392	COG1392	-0.9874	-0.7358	0.0965	0.9454	EXI68620.1|EXI68623.1|WP_027459037.1|KFB75089.1|WP_012207147.1|KFB75091.1|EXI86345.1|KFB74231.1|EXI67961.1|RDE52272.1|KFB67540.1|KFB71158.1|EXI90708.1|KFB71918.1|WP_079434981.1|EXI85807.1	Protein of unknown function DUF47	16	-1.6162	0.0126	Ni
WP_121583118.1	MAG-178	COG1879	COG1879	0.9936	0.6325	0.1619	0.8896	WP_126011369.1|WP_035830524.1|WP_121583118.1|WP_106771756.1|WP_029074649.1|WP_072602426.1|TIY08164.1|KXK50159.1|WP_112599519.1|WP_121583689.1|KXK22029.1|ODT20068.1|WP_119069918.1|WP_121579838.1|RWB10060.1|WP_014331664.1|WP_119272875.1|WP_046864324.1|RWI91810.1|WP_008839394.1|WP_069911922.1|ODS82412.1|WP_121580096.1|WP_007607749.1|WP_121580294.1|WP_088151179.1|WP_047559843.1|CCV15083.1|WP_121582708.1|WP_063332007.1	ABC-type sugar transport system periplasmic component	30	1.6491	0.0064	Ni
"KFB78396.1,KFB78396.1,KFB77383.1,KFB78396.1,WP_028993732.1,WP_028993732.1,KFB77383.1,KFB77383.1"	"MAG-105,MAG-136,MAG-163,MAG-211,MAG-28"	COG1884	COG1884	-0.9534	-0.6047	0.2301	1	WP_068417668.1|WP_056342529.1|WP_011237922.1|WP_011289727.1|KFB77383.1|WP_020204933.1|EPZ14081.1|WP_028993732.1|WP_079435329.1|OUR93722.1|TAH40782.1|EXI88868.1|SBT04792.1|KFB78396.1|WP_021250893.1|WP_027948216.1|OGB39869.1|PKO33963.1|WP_103044472.1|WP_110266925.1|WP_035028480.1|TAL00290.1	methylmalonyl-CoA mutase activity	22	-1.4368	0.0466	Ni
KFB71624.1	MAG-28	COG2857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ni
RTL33232.1	MAG-263	COG3243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ni
"KFB77167.1,KFB77167.1,WP_027459158.1"	"MAG-136,MAG-28,MAG-44"	COG3808	COG3808	-0.9707	-0.6087	0.2045	0.9999	WP_027459158.1|WP_040039379.1|OGA33678.1|OGA54848.1|OQW70483.1|WP_092933185.1|PKO46473.1|WP_106748051.1|WP_108174417.1|WP_046849784.1|WP_136383560.1|WP_062357469.1|GBD23787.1|WP_066884054.1|OJW48649.1|WP_074708295.1|WP_012807184.1|PIX96075.1|EXI84398.1|OQW94285.1|KFB77167.1|RLS34308.1|WP_082034659.1|ODT53893.1|OYU75542.1	pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for	25	-1.4822	0.0293	Ni
"KFB68186.1,KFB66257.1,KFB68186.1,KFB68186.1,WP_048674821.1,KFB68186.1,KFB68186.1,KFB68186.1,KFB66257.1,KFB68186.1"	"MAG-105,MAG-136,MAG-163,MAG-192,MAG-20,MAG-256,MAG-28"	GO:0000015	GO:0000015	-0.9944	-0.6734	0.0618	0.7775	WP_100378545.1|KFB68186.1|EXI74690.1|EXI86829.1|KFB66257.1|OLL99361.1|WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|CCL39299.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|WP_048674821.1|OGW34266.1|KIF33670.1|WP_079690089.1|RUQ37377.1|KXK23501.1|RUT95275.1|ODT50015.1|WP_079446987.1|OLC74155.1	phosphopyruvate hydratase complex	28	-1.674	0.0056	Ni
WP_062357585.1	MAG-154	GO:0000155	GO:0000155	0.9993	0.6208	0.192	0.4093	RTL39489.1|WP_079435302.1|RTL35170.1|WP_079433332.1|WP_023401598.1|WP_114361224.1|RJR09637.1|RTL35065.1|WP_127004868.1|WP_007041564.1|OIP12852.1|WP_082400291.1|WP_107220493.1|WP_012585247.1|WP_132975974.1|WP_085773099.1|OLB96090.1|WP_083859815.1|AWH61885.1|WP_117010228.1|RTL35940.1|OGU10417.1|WP_129884494.1|THD47362.1|WP_067193642.1|WP_066884466.1|WP_015178165.1|RTL42903.1|WP_036482041.1|WP_011289618.1|WP_082853035.1|WP_126462299.1|WP_079434806.1|RTL34001.1|WP_015181186.1|WP_015437424.1|WP_062357585.1|ODV42105.1|WP_102040908.1|WP_066860408.1|WP_079436891.1|PKO81323.1|REK06819.1|WP_116980805.1|WP_084542403.1|OJW32004.1|ABO59198.1|WP_132544237.1|RTL40889.1	phosphorelay sensor kinase activity	49	1.7741	7.00E-04	Ni
WP_027457672.1	MAG-211	GO:0000162	GO:0000162	0.9938	0.7553	0.1761	0.6733	WP_079433322.1|OIP33749.1|WP_079433243.1|PKO34179.1|RIX40979.1|PKO70808.1|WP_133589568.1|OGA79882.1|WP_079433245.1|OJX20291.1|WP_136348850.1|WP_027457672.1|WP_079433662.1|RYG39240.1|WP_109680178.1|WP_107492639.1|WP_136219810.1	tryptophan biosynthetic process	17	1.7126	0.0062	Ni
